Site01	Site02	Site03
9.2	12.4	19
7.1	14.1	19.4
8.9	14.8	19.1
8.8	14.2	19.1
11.1	14.2	19.7
11.2	15.4	20.2
12.7	15.4	20.5
12.7	14.3	20.2
12.4	15.1	20.3
10.6	15.2	20.2
10.9	14.8	20.5
9.5	15.7	20.4
8.8	16.7	20.2
12.1	15.6	20.5
12.8	14.8	21
12.1	16	21.1
14.8	16.7	20.9
15.4	17.7	21.1
13.5	17.4	21.4
14.7	17.4	21.7
12.3	16.4	21.6
11.6	16.7	22.1
13.2	17.1	22
13.2	18.3	22.2
12.4	17.1	22.8
14.3	16.8	22.4
15.9	17.5	22.2
13	17	22.6
12.7	18.7	22.6
16	18.2	23
14.4	18	23
12.7	19.9	22.8
15.6	19	22.8
15.8	19.3	23.4
17.5	20.6	23.8
17.9	19.2	23.8
19.7	19.9	24
20.4	20.9	23.5
16.2	20	23.4
15	21.5	23.6
16	21.2	24
18.4	21.4	23.7
15.7	21.7	23.5
14.9	20.8	24
16.6	19.8	24.4
17.3	19.4	24.3
19.8	20.7	24.4
19.3	20.1	24
21.4	21.9	24.1
19.6	22.7	24.1
18.4	22.7	24.6
18.3	22.4	24.6
18.8	23	24.8
17.8	21.8	25.4
17.6	22.8	25.6
17.9	22.1	25.8
18.4	22	25.2
19.6	22.4	25.6
17.5	22.6	25.4
18.2	23	25
19.6	21.7	24.8
17.4	22.9	25.2
19.2	23.8	25.6
22.2	23.5	25.2
22.1	22.9	25.8
23.6	23.7	26.1
19.7	23.2	25.8
21.9	23.4	26.3
22.5	23.8	25.7
19.4	23.4	26
19.7	23.7	26.3
20.3	22.6	26.3
20.7	21.9	26
22.8	21.9	25.6
19.6	21.8	26
22	22.6	26.4
19.1	22	26.2
18.3	23.8	26.6
20.3	23.1	26.3
22.8	22.9	25.7
20.4	21.9	25.8
20.6	22.5	26.2
18.5	23.3	25.8
18.7	23.3	25.6
17.4	23.2	25.4
18.1	22.8	25.3
19.6	23.8	25.4
22.6	22.4	26.1
22.9	21.8	26.3
21.4	22.3	26.4
23.2	23.2	26
21.3	23.1	25.9
23.2	24.1	26
22.6	24.6	25.9
20.2	24.2	25.8
19.4	23.3	25.3
21.4	24	25.2
18.5	23	25.1
21.5	23	25
20.3	22.7	25.3
19.3	21.9	25.6
21.5	21.6	26
19.3	22.4	25.8
21.6	21.4	25.3
18.8	23.1	25.8
19.5	23.5	26
20.6	23.7	25.6
20.4	23.4	25.3
18.8	23.3	25
17.2	24	24.8
19.6	24	24.6
18.3	23.9	24.7
20.3	21.8	24.6
18.8	20.9	25
16.3	21.8	24.6
15.1	22.8	24.7
17.4	22.9	24.7
18.6	21.3	24.3
20.8	22.3	24.3
18	21.2	23.9
15.7	20.1	23.7
16.2	19.6	23.6
19.1	20.8	24.3
19.8	20.4	24
17.2	21.7	24
15.2	20.4	23.5
15	20.4	23.8
14.3	20.4	23.8
14.6	19.9	23.4
17	18.7	23.9
18.5	19	23.7
15.7	19	23
15.3	18.5	23.5
14.4	19.4	23.3
15.9	19.4	22.8
14.9	18.3	22.8
16	18.7	22.3
15.5	19.4	22.7
12.7	18.2	22.3
15.8	17.6	22.6
15.5	18	22.1
16.3	18	21.7
16.2	19.1	21.9
14.1	17.7	21.5
12.4	17.9	21.9
10.9	17.8	21.7
12.5	16.8	22.1
14.3	16	21.3
15.5	17.1	21.3
11.5	17	21.5
13.2	16.9	21.7
11.3	16.8	21.7
10.8	15.4	21.7
12.6	16.8	20.8
12.5	15	20.3
10.3	15.8	20.5
8.7	14.8	20.2
7.2	15.7	20.1
8.1	15.7	19.9
11.1	14.2	19.8
11.9	14.4	19.9
9.9	15	20.1
8.4	15.6	19.9
9.9	15.9	19.5
9.5	14.6	19.2
9.9	14.8	19.5
10.3	14.9	19.6
7.1	14.8	18.7
9.4	14.7	18.9
7.9	13.2	18.7
5.1	12.3	18.2
4.6	12.1	18.4
3.2	12.4	18.3
2.3	13.2	18.3
3.2	13.5	17.7
6.5	13.7	17.8
3.4	13.5	17.2
5.5	13	17.1
3.8	11.3	17.3
4.2	11.1	17.3
3	10.6	16.9
3.3	10.2	17.2
3.6	9	16.5
2.6	8.8	16.2
0.4	8.7	16.6
2.3	10.1	16.6
2.4	10.9	16.4
3.2	9.7	16.5
0.5	8.9	15.8
0.6	9.1	15.4
1.6	9.5	15.9
3.2	9.9	15.8
4	8.2	15.6
2.5	9.2	15.3
1.4	9.6	14.8
-0.7	9.3	14.7
1.4	7.7	14.6
1.8	7.4	14.9
1.7	7.2	14.4
-0.4	6.5	14
-0.2	5.8	14
0	7.4	14.4
-0.2	6	14.5
-2.1	6.3	14.1
-3.4	6.5	14.4
-1.1	7.3	14.5
-0.3	7.4	14.1
0	6.1	14
0.3	5.8	14
0.5	5.5	14
-3.5	5.7	13.8
-4.3	4.3	13.3
-3.9	4.7	13
-5.8	5.1	12.5
-6.9	4	12.6
-5.5	3.9	12.2
-6.3	3.6	12
-5.1	3.3	12.7
-3.6	3.3	12.2
-3.7	3.2	12.7
-2.5	2.8	12.1
-5.1	4	11.8
-6.5	3.2	11.9
-7.7	3.8	11.9
-8.2	4	11.4
-5.8	3.7	12
-5.7	3.7	11.4
-4.1	4.4	11.9
-2.7	2.4	11.3
-6.2	3.1	11.4
-8.8	2.5	10.9
-9.7	2.9	11.3
-8.1	2.6	11.6
-9	1.7	10.9
-8.4	1	10.8
-9.3	1.8	10.5
-9.1	1.7	10.3
-8.5	1.3	10.4
-7.4	1.9	10.5
-6.4	2.1	10.3
-7.2	2.5	10.2
-5.8	1	10.6
-8.4	2.1	11
-5.7	0.9	11.2
-8.4	0.4	11.1
-8.5	1.2	10.9
-7.2	1.9	11
-10.1	0.6	11.2
-9.2	0.6	10.2
-11.1	0.7	10
-9	0.3	10.5
-10.9	0.2	10.2
-11.4	1.2	10.2
-12.1	2	10
-12.3	1.8	10.5
-11.7	0.8	10.6
-9.1	-0.1	10
-9.6	0.2	9.7
-8.9	0.7	10.2
-6.7	-0.2	9.9
-8.3	0	9.5
-10	-0.8	9.3
-8	-1	9.7
-7.3	-1.1	10
-13	0.5	9.8
